"Tumour","Tumours.ID","Crude.incidence.rate.per.100.000","n_orphan_designations","n_orphan_approvals","approval_rate","n_withdrawed","withdrawal_rate","total_publications","total_publications_od","n_trials","n_orphan_true","Research_score","Normalised_research_score","no_activity","research_group","rank","top_bottom_group","group"
"Squamous cell carcinoma with variants of anal canal",39,"0,81011",0,0,"0",0,"0",170,0,21,0,"0,05","0,06",FALSE,"Under-researched",158,NA,"Published literature and clinical trials"
"Serous cystadenocarcinoma of pancreas",143,"0,00026",0,0,"0",0,"0",254,0,1,0,"0,05","3,1",FALSE,"Under-researched",159,NA,"Published literature and clinical trials"
"Bile duct cystadenocarcinoma of IBT",43,"0,00243",0,0,"0",0,"0",355,0,0,0,"0,05","1,01",FALSE,"Under-researched",160,NA,"Only published literature"
"Adenocarcinoma with variants of gallbladder",19,"1,34594",0,0,"0",0,"0",283,0,15,0,"0,05","0,04",FALSE,"Under-researched",161,NA,"Published literature and clinical trials"
"Adenocarcinoma with variants of EBT",17,"1,4369",0,0,"0",0,"0",283,0,0,0,"0,05","0,04",FALSE,"Under-researched",162,NA,"Only published literature"
"Salivary gland type tumours of lung",156,"0,05611",0,0,"0",0,"0",362,0,0,0,"0,05","0,21",FALSE,"Under-researched",163,NA,"Only published literature"
"Salivary gland type tumours of breast",52,"0,05541",0,0,"0",0,"0",246,0,0,0,"0,05","0,21",FALSE,"Under-researched",164,NA,"Only published literature"
"Adenoid cystic carcinoma of corpus uteri",33,"0,00032",7,0,"0",0,"0",47,0,44,2,"0,05","2,8",FALSE,"Under-researched",165,NA,"All except marketing authorisations"
"Undifferentiated carcinoma of vulva and vagina",117,"0,00543",0,0,"0",0,"0",443,0,0,0,"0,05","0,68",FALSE,"Under-researched",166,NA,"Only published literature"
"Spermatocytic seminoma",198,"0,03204",0,0,"0",0,"0",388,0,0,0,"0,05","0,28",FALSE,"Under-researched",167,NA,"Only published literature"
"Adenocarcinoma with variants of pelvis and ureter",27,"0,02081",0,0,"0",0,"0",236,0,0,0,"0,05","0,35",FALSE,"Under-researched",168,NA,"Only published literature"
"Squamous cell carcinoma with variants of urethra",88,"0,021",0,0,"0",0,"0",521,0,0,0,"0,05","0,35",FALSE,"Under-researched",169,NA,"Only published literature"
"Pancreatoblastoma",186,"0,00249",0,0,"0",0,"0",380,0,0,0,"0,05","1",FALSE,"Under-researched",170,NA,"Only published literature"
"Other myelodysplastic syndrome",180,"2,14111",0,0,"0",0,"0",191,0,1,0,"0,05","0,03",FALSE,"Under-researched",171,NA,"Published literature and clinical trials"
"Undifferentiated carcinoma of nasal cavity and sinuses",61,"0,01826",0,0,"0",0,"0",101,0,0,0,"0,04","0,3",FALSE,"Under-researched",172,NA,"Only published literature"
"Papillary adenocarcinoma of nasopharynx",23,"0,00038",0,0,"0",0,"0",71,0,0,0,"0,04","2,05",FALSE,"Under-researched",173,NA,"Only published literature"
"Salivary gland-type tumours of stomach",158,"0,00249",0,0,"0",0,"0",65,0,0,0,"0,04","0,8",FALSE,"Under-researched",174,NA,"Only published literature"
"Carcinoma with osteoclast-like giant cells of  pancreas",91,"0,00121",0,0,"0",0,"0",126,0,0,0,"0,04","1,15",FALSE,"Under-researched",175,NA,"Only published literature"
"Undifferentiated carcinoma of thymus",116,"0,0023",0,0,"0",0,"0",114,0,0,0,"0,04","0,83",FALSE,"Under-researched",176,NA,"Only published literature"
"Squamous cell carcinoma with variants of corpus uteri",64,"0,06403",0,0,"0",0,"0",105,0,6,0,"0,04","0,16",FALSE,"Under-researched",177,NA,"Published literature and clinical trials"
"Paratesticular adenocarcinoma with variants",26,"0,0014",0,0,"0",0,"0",73,0,0,0,"0,04","1,07",FALSE,"Under-researched",178,NA,"Only published literature"
"Squamous cell carcinoma with variants of pelvis and ureter",79,"0,02375",0,0,"0",0,"0",120,0,1,0,"0,04","0,26",FALSE,"Under-researched",179,NA,"Published literature and clinical trials"
"Salivary gland type tumours of oesophagus",157,"0,00402",0,0,"0",0,"0",20,0,0,0,"0,03","0,47",FALSE,"Under-researched",180,NA,"Only published literature"
"Salivary gland type tumours of trachea",159,"0,01117",0,0,"0",0,"0",48,0,0,0,"0,03","0,28",FALSE,"Under-researched",181,NA,"Only published literature"
"Lymphoepithelial carcinoma of thymus",108,"0,00077",0,0,"0",0,"0",40,0,0,0,"0,03","1,08",FALSE,"Under-researched",182,NA,"Only published literature"
"Clear cell adenocarcinoma, NOS",13,"0,16131",0,0,"0",0,"0",35,0,0,0,"0,03","0,07",FALSE,"Under-researched",183,NA,"Only published literature"
"Undifferentiated carcinoma of cervix uteri",92,"0,03064",0,0,"0",0,"0",56,0,0,0,"0,03","0,17",FALSE,"Under-researched",184,NA,"Only published literature"
"Mullerian mixed tumour of cervix uteri",128,"0,01641",0,0,"0",0,"0",40,0,1,0,"0,03","0,23",FALSE,"Under-researched",185,NA,"Published literature and clinical trials"
"Infiltrating duct carcinoma of prostate",98,"0,51476",0,0,"0",0,"0",26,0,0,0,"0,03","0,04",FALSE,"Under-researched",186,NA,"Only published literature"
"Squamous cell carcinoma with variants of bladder",44,"0,3553",0,0,"0",0,"0",38,0,12,0,"0,03","0,05",FALSE,"Under-researched",187,NA,"Published literature and clinical trials"
"Salivary gland type tumours of bladder",46,"0,00045",0,0,"0",0,"0",19,0,0,0,"0,03","1,41",FALSE,"Under-researched",188,NA,"Only published literature"
"Squamous cell carcinoma with variants of eye and adnexa",35,"0,02687",0,0,"0",0,"0",55,0,0,0,"0,03","0,18",FALSE,"Under-researched",189,"Bottom 10","Only published literature"
"Adenocarcinoma with variants of eye and adnexa",7,"0,00855",0,0,"0",0,"0",44,0,0,0,"0,03","0,32",FALSE,"Under-researched",190,"Bottom 10","Only published literature"
"Lymphoepithelial carcinoma of nasal cavity and sinuses",60,"0,00198",0,0,"0",0,"0",5,0,0,0,"0,02","0,45",FALSE,"Under-researched",191,"Bottom 10","Only published literature"
"Squamous cell carcinoma of gallbladder and EBT",66,"0,03166",0,0,"0",0,"0",11,0,1,0,"0,02","0,11",FALSE,"Under-researched",192,"Bottom 10","Published literature and clinical trials"
"Squamous cell carcinoma spindle cell type of kidney",70,"0,01213",0,0,"0",0,"0",8,0,0,0,"0,02","0,18",FALSE,"Under-researched",193,"Bottom 10","Only published literature"
"Undifferentiated carcinoma of liver and IBT",105,"0,01532",0,0,"0",0,"0",2,0,0,0,"0,01","0,08",FALSE,"Under-researched",194,"Bottom 10","Only published literature"
"Squamous cell carcinoma with variants of liver and IBT",68,"0,00938",0,0,"0",0,"0",4,0,0,0,"0,01","0,1",FALSE,"Under-researched",195,"Bottom 10","Only published literature"
"Mixed endocrine-exocrine carcinoma of pancreas and digestive tract",97,"0,00938",0,0,"0",0,"0",2,0,0,0,"0,01","0,1",FALSE,"Under-researched",196,"Bottom 10","Only published literature"
"Intestinal typeadenocarcinoma of nasal cavity and sinuses",118,"0,00268",0,0,"0",0,"0",0,0,0,0,"0","0",TRUE,"Non-researched",197,"Bottom 10","None"
"Mullerian mixed tumour of ovary",178,"0,14395",0,0,"0",0,"0",0,0,30,0,"0","0",FALSE,"Under-researched",198,"Bottom 10","Only clinical trials"
